en,fr
Giga Meter,Giga Meter
Troubleshooting,Troubleshooting
Giga Maps,Giga Maps
Giga Sync,Giga Sync
Daily Check App,Daily Check App
Superset,Superset
M-Lab,M-Lab
NDT7,NDT7
Cloudflare,Cloudflare
ITU,UIT
deployment,déploiement
deploy,déployer
Deployment Blueprint,Plan de déploiement
dashboard,tableau de bord
uptime,disponibilité
speed test,test de débit
ping check,vérification du ping
monitoring,suivi
upload speed,débit montant
download speed,débit descendant
load speed,Débit de chargement
latency,latence
focal point,point focal
onboarding,intégration
Government Onboarding Guide,Guide d'intégration pour les gouvernements
Installation Lead,Responsable de l'installation
Data Analysis Lead,Responsable de l'analyse des données
UNICEF Country Office,Bureau de pays de l'UNICEF
case studies,études de cas
case study,étude de cas
school day,journée scolaire
school ID,identifiant de l'école
Giga ID,identifiant Giga
live school,école active
at-risk school,école à risque
drop-off,décrochage
drop-off rate,taux de décrochage
whitelisted,autorisé dans le système
blockers,obstacles
champion,référent
benchmark,valeur de référence
Training Support Materials,Supports de formation
computer,ordinateur
reliable,fiable
funding,financement
report data,transmettre des données
escalation,escalade
scale-up,déploiement étendu
scale,étendre
backup device,dispositif de secours
re-registration,nouvelle inscription
onboarding screens,écrans de configuration initiale
safe to install,son installation est sécurisée
ISP,Fournisseur d'accès Internet (FAI)
FAI,FAI
workstream,axe de travail
internet,internet
installed schools,écoles équipées de Giga Meter
